arabidopsis_gene	rice_gene	orthology_type	orthology_confidence
AT3G18270	Os01g0138900	ortholog_one2one	1
AT2G28490	Os03g0336100	ortholog_one2one	1
AT3G24200	Os03g0839100	ortholog_one2one	1
AT5G22030	Os07g0160000	ortholog_one2one	1
AT5G57280	Os02g0804300	ortholog_one2one	1
AT3G06920	Os07g0249100	ortholog_one2one	1
AT5G50290	Os05g0409100	ortholog_one2one	1
AT4G10260	Os08g0113100	ortholog_one2one	1
AT5G53050	Os05g0542200	ortholog_one2one	1
AT3G03630	Os01g0814800	ortholog_one2one	1
AT4G29820	Os08g0398800	ortholog_one2one	1
AT4G24400	Os01g0536000	ortholog_one2one	1
AT5G06530	Os03g0157400	ortholog_one2one	1
AT3G59520	Os01g0895500	ortholog_one2one	1
AT3G13550	Os07g0577400	ortholog_one2one	1
AT2G35790	Os03g0853800	ortholog_one2one	1
AT5G36170	Os07g0546600	ortholog_one2one	1
AT1G56290	Os03g0740700	ortholog_one2one	1
AT2G03270	Os03g0586900	ortholog_one2one	1
AT1G12370	Os10g0167600	ortholog_one2one	1
AT3G12930	Os09g0493600	ortholog_one2one	1
AT2G32080	Os01g0260700	ortholog_one2one	1
AT4G39670	Os03g0710700	ortholog_one2one	1
AT5G09310	Os01g0960000	ortholog_one2one	1
AT1G06820	Os11g0572700	ortholog_one2one	1
AT1G56590	Os05g0383100	ortholog_one2one	1
AT2G35130	Os02g0170000	ortholog_one2one	1
AT5G02250	Os01g0841800	ortholog_one2one	1
AT2G42810	Os05g0204900	ortholog_one2one	1
AT5G06140	Os01g0862300	ortholog_one2one	1
AT3G03070	Os08g0161700	ortholog_one2one	1
AT1G04190	Os12g0604800	ortholog_one2one	1
AT5G19400	Os08g0305300	ortholog_one2one	1
AT2G30390	Os05g0361200	ortholog_one2one	1
AT4G19900	Os07g0567300	ortholog_one2one	1
AT2G47710	Os07g0673400	ortholog_one2one	1
AT1G30010	Os12g0407300	ortholog_one2one	1
AT5G51300	Os04g0385700	ortholog_one2one	1
AT1G67410	Os01g0921300	ortholog_one2one	1
AT1G32090	Os10g0579100	ortholog_one2one	1
AT1G71480	Os09g0266000	ortholog_one2one	1
AT1G79890	Os05g0219800	ortholog_one2one	1
AT1G28340	Os07g0501800	ortholog_one2one	1
AT3G47810	Os02g0265400	ortholog_one2one	1
AT1G63680	Os10g0548900	ortholog_one2one	1
AT3G21720	Os07g0529000	ortholog_one2one	1
AT4G13250	Os01g0227100	ortholog_one2one	1
AT5G45160	Os12g0604600	ortholog_one2one	1
AT2G28800	Os01g0151200	ortholog_one2one	1
AT4G30810	Os06g0186400	ortholog_one2one	1
AT4G25770	Os08g0447300	ortholog_one2one	1
AT1G61050	Os04g0529700	ortholog_one2one	1
AT4G10180	Os01g0104600	ortholog_one2one	1
AT1G16770	Os02g0140800	ortholog_one2one	1
AT5G08380	Os10g0492900	ortholog_one2one	1
AT1G64860	Os08g0163400	ortholog_one2one	1
AT3G06810	Os07g0675000	ortholog_one2one	1
AT5G50230	Os03g0746600	ortholog_one2one	1
AT1G17160	Os01g0665400	ortholog_one2one	1
AT5G51970	Os08g0545200	ortholog_one2one	1
AT5G16260	Os04g0496400	ortholog_one2one	1
AT3G16270	Os01g0232400	ortholog_one2one	1
AT5G05310	Os12g0112300	ortholog_one2one	1
AT3G52200	Os06g0499900	ortholog_one2one	1
AT5G51750	Os04g0573300	ortholog_one2one	1
AT1G60600	Os03g0190100	ortholog_one2one	1
AT5G13780	Os04g0635800	ortholog_one2one	1
AT5G41960	Os04g0585600	ortholog_one2one	1
AT5G57020	Os01g0708100	ortholog_one2one	1
AT4G34730	Os06g0137600	ortholog_one2one	1
AT1G06550	Os01g0752200	ortholog_one2one	1
AT5G20590	Os06g0659400	ortholog_one2one	1
AT2G24220	Os09g0557500	ortholog_one2one	1
AT3G22290	Os03g0784400	ortholog_one2one	1
AT3G52155	Os09g0287300	ortholog_one2one	1
AT1G50940	Os03g0835400	ortholog_one2one	1
AT5G22010	Os11g0572100	ortholog_one2one	1
AT5G64630	Os08g0108200	ortholog_one2one	1
AT3G05480	Os03g0345100	ortholog_one2one	1
AT4G21150	Os01g0911200	ortholog_one2one	1
AT3G53570	Os01g0837900	ortholog_one2one	1
AT3G63090	Os01g0293200	ortholog_one2one	1
AT1G63610	Os02g0833400	ortholog_one2one	1
AT1G71840	Os03g0685600	ortholog_one2one	1
AT5G22470	Os02g0530600	ortholog_one2one	1
AT3G09010	Os03g0264300	ortholog_one2one	1
AT1G73820	Os12g0168200	ortholog_one2one	1
AT1G08860	Os05g0373300	ortholog_one2one	1
AT4G37270	Os06g0690700	ortholog_one2one	1
AT1G18270	Os06g0258900	ortholog_one2one	1
AT5G51130	Os08g0540500	ortholog_one2one	1
AT3G57430	Os04g0118700	ortholog_one2one	1
AT1G03100	Os10g0422566	ortholog_one2one	1
AT4G39880	Os07g0415200	ortholog_one2one	1
AT5G63140	Os09g0533300	ortholog_one2one	1
AT3G18800	Os04g0687200	ortholog_one2one	1
AT1G13040	Os07g0688100	ortholog_one2one	1
AT2G44950	Os04g0550400	ortholog_one2one	1
AT3G13180	Os09g0477900	ortholog_one2one	1
AT3G47860	Os04g0626400	ortholog_one2one	1
AT5G06400	Os12g0456100	ortholog_one2one	1
AT2G21620	Os02g0705400	ortholog_one2one	1
AT1G44575	Os01g0869800	ortholog_one2one	1
AT3G13235	Os02g0198600	ortholog_one2one	1
AT5G18390	Os08g0525500	ortholog_one2one	1
AT2G24395	Os08g0520850	ortholog_one2one	1
AT4G39280	Os10g0400800	ortholog_one2one	1
AT2G40430	Os05g0144200	ortholog_one2one	1
AT3G10960	Os05g0332600	ortholog_one2one	1
AT3G59480	Os01g0894300	ortholog_one2one	1
AT5G61970	Os08g0323000	ortholog_one2one	1
AT5G55280	Os04g0665400	ortholog_one2one	1
AT4G33680	Os03g0299900	ortholog_one2one	1
AT4G33925	Os07g0593200	ortholog_one2one	1
AT3G27740	Os02g0708100	ortholog_one2one	1
AT3G52180	Os03g0107800	ortholog_one2one	1
AT3G25210	Os06g0184866	ortholog_one2one	1
AT3G02760	Os05g0150900	ortholog_one2one	1
AT1G71990	Os12g0170600	ortholog_one2one	1
AT4G35730	Os09g0547200	ortholog_one2one	1
AT1G18700	Os07g0632600	ortholog_one2one	1
AT5G53490	Os10g0502000	ortholog_one2one	1
AT5G42150	Os04g0244400	ortholog_one2one	1
AT2G36990	Os08g0242800	ortholog_one2one	1
AT1G65230	Os01g0912700	ortholog_one2one	1
AT4G15110	Os02g0173100	ortholog_one2one	1
AT4G16700	Os03g0101900	ortholog_one2one	1
AT1G10310	Os02g0557700	ortholog_one2one	1
AT5G51700	Os02g0535400	ortholog_one2one	1
AT3G28030	Os03g0205400	ortholog_one2one	1
AT5G35620	Os10g0467600	ortholog_one2one	1
AT1G45150	Os07g0581300	ortholog_one2one	1
AT1G17850	Os03g0861700	ortholog_one2one	1
AT5G13570	Os02g0805900	ortholog_one2one	1
AT5G16020	Os01g0605400	ortholog_one2one	1
AT3G49142	Os03g0241800	ortholog_one2one	1
AT5G62190	Os09g0520700	ortholog_one2one	1
AT3G54750	Os12g0621700	ortholog_one2one	1
AT2G32120	Os03g0218500	ortholog_one2one	1
AT4G34310	Os03g0185500	ortholog_one2one	1
AT1G65030	Os12g0615900	ortholog_one2one	1
AT1G70570	Os02g0131200	ortholog_one2one	1
AT2G36730	Os09g0412900	ortholog_one2one	1
AT4G32250	Os06g0639500	ortholog_one2one	1
AT5G19050	Os07g0211800	ortholog_one2one	1
AT2G42160	Os04g0648500	ortholog_one2one	1
AT4G38160	Os08g0515800	ortholog_one2one	1
AT1G06110	Os11g0265200	ortholog_one2one	1
AT3G12270	Os07g0640000	ortholog_one2one	1
AT5G14430	Os06g0687450	ortholog_one2one	1
AT3G26670	Os02g0518100	ortholog_one2one	1
AT5G66530	Os09g0327400	ortholog_one2one	1
AT4G22200	Os05g0428700	ortholog_one2one	1
AT5G14850	Os01g0580100	ortholog_one2one	1
AT1G49380	Os03g0769600	ortholog_one2one	1
AT4G38020	Os03g0685100	ortholog_one2one	1
AT5G65490	Os08g0447200	ortholog_one2one	1
AT1G03000	Os04g0617600	ortholog_one2one	1
AT1G71350	Os02g0557600	ortholog_one2one	1
AT1G17630	Os01g0197450	ortholog_one2one	1
AT3G01435	Os02g0189100	ortholog_one2one	1
AT2G45860	Os02g0824400	ortholog_one2one	1
AT1G77020	Os02g0555700	ortholog_one2one	1
AT4G14180	Os04g0347800	ortholog_one2one	1
AT4G37460	Os07g0113700	ortholog_one2one	1
AT5G14100	Os11g0490800	ortholog_one2one	1
AT3G63190	Os07g0570700	ortholog_one2one	1
AT5G66360	Os07g0509600	ortholog_one2one	1
AT5G39710	Os06g0152500	ortholog_one2one	1
AT3G13220	Os06g0607700	ortholog_one2one	1
AT5G35220	Os03g0792400	ortholog_one2one	1
AT4G32605	Os01g0771100	ortholog_one2one	1
AT5G37680	Os02g0732500	ortholog_one2one	1
AT5G11840	Os05g0539900	ortholog_one2one	1
AT4G17040	Os01g0271400	ortholog_one2one	1
AT3G18524	Os05g0274200	ortholog_one2one	1
AT5G01300	Os05g0468800	ortholog_one2one	1
AT3G26560	Os02g0301500	ortholog_one2one	1
AT3G17000	Os03g0308000	ortholog_one2one	1
AT1G19290	Os05g0275100	ortholog_one2one	1
AT5G50840	Os03g0288600	ortholog_one2one	1
AT2G38680	Os03g0648900	ortholog_one2one	1
AT4G14890	Os03g0659200	ortholog_one2one	1
AT3G47990	Os05g0145000	ortholog_one2one	1
AT2G21970	Os04g0639200	ortholog_one2one	1
AT3G49660	Os03g0725400	ortholog_one2one	1
AT1G64680	Os08g0114100	ortholog_one2one	1
AT2G02980	Os03g0795200	ortholog_one2one	1
AT3G07080	Os06g0681700	ortholog_one2one	1
AT3G62030	Os01g0284700	ortholog_one2one	1
AT2G16920	Os01g0125900	ortholog_one2one	1
AT3G22950	Os11g0586900	ortholog_one2one	1
AT5G56730	Os01g0558850	ortholog_one2one	1
AT5G12130	Os05g0121200	ortholog_one2one	1
AT5G04895	Os03g0748800	ortholog_one2one	1
AT5G59140	Os11g0707700	ortholog_one2one	1
AT5G06130	Os02g0535000	ortholog_one2one	1
AT1G53600	Os08g0131000	ortholog_one2one	1
AT4G11160	Os09g0515500	ortholog_one2one	1
AT5G02850	Os09g0540500	ortholog_one2one	1
AT1G64770	Os03g0158300	ortholog_one2one	1
AT1G48520	Os11g0544800	ortholog_one2one	1
AT5G03910	Os04g0413000	ortholog_one2one	1
AT1G60550	Os01g0662700	ortholog_one2one	1
AT5G60620	Os07g0531600	ortholog_one2one	1
AT2G45730	Os04g0112300	ortholog_one2one	1
AT1G72440	Os09g0116400	ortholog_one2one	1
AT3G12100	Os02g0832700	ortholog_one2one	1
AT5G46700	Os03g0100020	ortholog_one2one	1
AT5G16210	Os01g0514300	ortholog_one2one	1
AT5G13770	Os04g0583101	ortholog_one2one	1
AT3G27120	Os12g0443800	ortholog_one2one	1
AT1G80420	Os06g0144000	ortholog_one2one	1
AT2G30100	Os05g0353300	ortholog_one2one	1
AT5G24690	Os12g0283800	ortholog_one2one	1
AT1G05055	Os04g0508900	ortholog_one2one	1
AT5G62030	Os02g0815600	ortholog_one2one	1
AT3G18860	Os07g0123700	ortholog_one2one	1
AT5G52920	Os01g0660300	ortholog_one2one	1
AT5G44200	Os02g0612300	ortholog_one2one	1
AT5G04420	Os02g0822800	ortholog_one2one	1
AT5G44340	Os03g0661300	ortholog_one2one	1
AT5G52810	Os10g0533200	ortholog_one2one	1
AT3G47490	Os03g0169800	ortholog_one2one	1
AT5G26742	Os03g0827700	ortholog_one2one	1
AT1G10760	Os06g0498400	ortholog_one2one	1
AT1G73850	Os01g0129500	ortholog_one2one	1
AT2G26910	Os01g0177900	ortholog_one2one	1
AT5G27710	Os07g0673000	ortholog_one2one	1
AT5G40500	Os04g0482900	ortholog_one2one	1
AT5G49800	Os11g0245500	ortholog_one2one	1
AT4G00026	Os03g0253800	ortholog_one2one	1
AT4G16835	Os08g0153600	ortholog_one2one	1
AT5G66090	Os09g0541700	ortholog_one2one	1
AT2G30320	Os03g0338600	ortholog_one2one	1
AT1G12680	Os09g0466900	ortholog_one2one	1
AT3G20440	Os06g0367100	ortholog_one2one	1
AT1G77030	Os08g0416100	ortholog_one2one	1
AT3G02710	Os02g0831300	ortholog_one2one	1
AT5G65110	Os11g0605500	ortholog_one2one	1
AT2G47490	Os05g0357200	ortholog_one2one	1
AT5G23520	Os04g0442100	ortholog_one2one	1
AT1G17880	Os03g0851000	ortholog_one2one	1
AT2G39650	Os01g0973600	ortholog_one2one	1
AT5G55500	Os08g0503800	ortholog_one2one	1
AT3G25410	Os02g0475400	ortholog_one2one	1
AT5G11680	Os09g0512900	ortholog_one2one	1
AT3G55760	Os11g0586300	ortholog_one2one	1
AT2G40860	Os01g0541900	ortholog_one2one	1
AT4G24480	Os04g0610900	ortholog_one2one	1
AT1G80770	Os08g0158900	ortholog_one2one	1
AT2G30200	Os03g0297400	ortholog_one2one	1
AT5G60700	Os02g0806500	ortholog_one2one	1
AT1G67570	Os08g0128200	ortholog_one2one	1
AT1G07320	Os03g0265400	ortholog_one2one	1
AT3G01060	Os05g0512200	ortholog_one2one	1
AT1G63260	Os10g0503600	ortholog_one2one	1
AT2G30600	Os05g0345500	ortholog_one2one	1
AT5G65220	Os02g0754300	ortholog_one2one	1
AT2G18940	Os05g0275000	ortholog_one2one	1
AT4G02580	Os05g0509200	ortholog_one2one	1
AT4G29540	Os01g0722100	ortholog_one2one	1
AT5G67290	Os07g0155100	ortholog_one2one	1
AT4G14000	Os09g0359900	ortholog_one2one	1
AT3G07300	Os10g0392700	ortholog_one2one	1
AT2G34980	Os02g0622200	ortholog_one2one	1
AT2G15680	Os09g0458700	ortholog_one2one	1
AT4G37170	Os03g0235200	ortholog_one2one	1
AT3G11620	Os01g0958800	ortholog_one2one	1
AT3G55510	Os12g0163200	ortholog_one2one	1
AT1G07120	Os03g0294100	ortholog_one2one	1
AT3G27530	Os12g0538900	ortholog_one2one	1
AT1G78770	Os03g0236966	ortholog_one2one	1
AT5G13290	Os01g0927500	ortholog_one2one	1
AT4G01860	Os03g0111800	ortholog_one2one	1
AT5G44450	Os03g0780900	ortholog_one2one	1
AT1G52340	Os03g0810800	ortholog_one2one	1
AT1G67740	Os08g0119800	ortholog_one2one	1
AT5G04910	Os01g0265700	ortholog_one2one	1
AT5G49410	Os08g0360000	ortholog_one2one	1
AT1G14990	Os01g0606050	ortholog_one2one	1
AT5G57170	Os06g0699500	ortholog_one2one	1
AT1G55480	Os07g0171100	ortholog_one2one	1
AT3G06440	Os01g0328900	ortholog_one2one	1
AT1G30460	Os06g0677700	ortholog_one2one	1
AT2G38000	Os05g0316200	ortholog_one2one	1
AT2G37560	Os03g0184700	ortholog_one2one	1
AT5G15330	Os03g0827500	ortholog_one2one	1
AT5G53800	Os04g0530300	ortholog_one2one	1
AT5G14140	Os11g0498400	ortholog_one2one	1
AT1G21350	Os07g0260300	ortholog_one2one	1
AT5G52030	Os08g0545700	ortholog_one2one	1
AT5G19370	Os07g0687500	ortholog_one2one	1
AT1G71790	Os03g0381200	ortholog_one2one	1
AT2G39805	Os05g0455800	ortholog_one2one	1
AT4G38225	Os03g0128800	ortholog_one2one	1
AT1G50240	Os12g0433500	ortholog_one2one	1
AT5G18070	Os07g0195400	ortholog_one2one	1
AT4G38890	Os04g0117600	ortholog_one2one	1
AT4G17830	Os02g0690800	ortholog_one2one	1
AT3G59770	Os01g0355600	ortholog_one2one	1
AT5G08260	Os04g0525700	ortholog_one2one	1
AT5G11340	Os01g0610400	ortholog_one2one	1
AT3G20475	Os05g0498300	ortholog_one2one	1
AT4G28030	Os08g0260000	ortholog_one2one	1
AT3G59630	Os11g0265600	ortholog_one2one	1
AT1G04080	Os03g0210400	ortholog_one2one	1
AT4G31120	Os02g0139200	ortholog_one2one	1
AT1G42430	Os03g0133300	ortholog_one2one	1
AT1G18680	Os10g0335200	ortholog_one2one	1
AT1G44835	Os02g0767700	ortholog_one2one	1
AT5G46330	Os04g0618700	ortholog_one2one	1
AT3G11960	Os07g0203700	ortholog_one2one	1
AT3G05675	Os07g0668800	ortholog_one2one	1
AT1G07970	Os03g0288800	ortholog_one2one	1
AT3G46940	Os03g0669100	ortholog_one2one	1
AT4G21445	Os04g0635700	ortholog_one2one	1
AT3G51610	Os05g0168400	ortholog_one2one	1
AT1G64310	Os01g0545900	ortholog_one2one	1
AT1G13380	Os09g0281300	ortholog_one2one	1
AT5G22370	Os02g0555000	ortholog_one2one	1
AT3G02330	Os10g0558600	ortholog_one2one	1
AT3G12170	Os02g0195800	ortholog_one2one	1
AT3G62910	Os11g0657100	ortholog_one2one	1
AT1G16280	Os07g0633500	ortholog_one2one	1
AT3G23020	Os03g0162900	ortholog_one2one	1
AT4G39700	Os08g0403300	ortholog_one2one	1
AT2G31290	Os06g0265900	ortholog_one2one	1
AT5G17990	Os03g0126000	ortholog_one2one	1
AT4G10920	Os01g0706000	ortholog_one2one	1
AT5G11980	Os12g0538300	ortholog_one2one	1
AT1G64150	Os01g0221700	ortholog_one2one	1
AT2G26930	Os01g0802100	ortholog_one2one	1
AT1G03330	Os08g0154700	ortholog_one2one	1
AT4G26330	Os03g0158700	ortholog_one2one	1
AT4G10840	Os02g0109800	ortholog_one2one	1
AT1G27880	Os04g0486800	ortholog_one2one	1
AT3G53470	Os03g0285100	ortholog_one2one	1
AT4G02060	Os12g0560700	ortholog_one2one	1
AT5G23550	Os02g0564500	ortholog_one2one	1
AT3G07270	Os04g0662700	ortholog_one2one	1
AT2G19430	Os09g0363600	ortholog_one2one	1
AT5G46220	Os01g0210400	ortholog_one2one	1
AT2G01110	Os01g0501700	ortholog_one2one	1
AT1G44960	Os11g0537300	ortholog_one2one	1
AT5G11540	Os01g0687800	ortholog_one2one	1
AT4G37750	Os03g0232200	ortholog_one2one	1
AT1G21780	Os08g0103600	ortholog_one2one	1
AT3G03380	Os02g0712000	ortholog_one2one	1
AT1G11660	Os06g0679800	ortholog_one2one	1
AT2G01350	Os09g0553600	ortholog_one2one	1
AT1G79280	Os02g0741500	ortholog_one2one	1
AT4G03280	Os07g0556200	ortholog_one2one	1
AT1G79150	Os06g0498500	ortholog_one2one	1
AT5G65930	Os04g0666900	ortholog_one2one	1
AT1G14000	Os07g0632800	ortholog_one2one	1
AT5G20380	Os09g0556400	ortholog_one2one	1
AT1G48950	Os01g0605650	ortholog_one2one	1
AT2G25100	Os11g0153900	ortholog_one2one	1
AT1G09420	Os03g0318500	ortholog_one2one	1
AT2G10940	Os06g0643500	ortholog_one2one	1
AT2G28790	Os01g0839900	ortholog_one2one	1
AT2G31060	Os01g0752700	ortholog_one2one	1
AT5G01470	Os03g0826700	ortholog_one2one	1
AT2G21440	Os03g0801800	ortholog_one2one	1
AT1G10130	Os03g0730800	ortholog_one2one	1
AT3G13560	Os07g0577300	ortholog_one2one	1
AT5G03070	Os01g0158000	ortholog_one2one	1
AT2G43650	Os01g0104800	ortholog_one2one	1
AT3G60680	Os10g0508100	ortholog_one2one	1
AT5G13760	Os07g0656100	ortholog_one2one	1
AT1G10840	Os04g0376500	ortholog_one2one	1
AT5G24710	Os01g0653800	ortholog_one2one	1
AT2G36370	Os01g0968600	ortholog_one2one	1
AT3G08980	Os03g0147900	ortholog_one2one	1
AT2G32500	Os03g0110900	ortholog_one2one	1
AT3G20260	Os08g0519600	ortholog_one2one	1
AT5G57930	Os02g0732900	ortholog_one2one	1
AT5G07590	Os10g0563300	ortholog_one2one	1
AT1G63980	Os03g0125300	ortholog_one2one	1
AT3G09580	Os07g0626800	ortholog_one2one	1
AT5G47390	Os10g0561400	ortholog_one2one	1
AT2G30070	Os06g0671000	ortholog_one2one	1
AT1G24030	Os09g0375600	ortholog_one2one	1
AT1G10460	Os03g0179100	ortholog_one2one	1
AT2G33630	Os02g0715200	ortholog_one2one	1
AT1G33270	Os11g0546300	ortholog_one2one	1
AT4G18460	Os01g0242500	ortholog_one2one	1
AT5G57590	Os08g0245400	ortholog_one2one	1
AT5G44635	Os05g0235800	ortholog_one2one	1
AT4G12230	Os10g0169800	ortholog_one2one	1
AT1G66510	Os04g0132300	ortholog_one2one	1
AT4G23440	Os01g0760400	ortholog_one2one	1
AT3G58600	Os01g0614700	ortholog_one2one	1
AT1G78560	Os04g0381100	ortholog_one2one	1
AT1G27520	Os02g0741300	ortholog_one2one	1
AT2G28450	Os04g0105000	ortholog_one2one	1
AT3G16170	Os01g0761300	ortholog_one2one	1
AT5G48840	Os03g0851800	ortholog_one2one	1
AT1G51160	Os01g0513700	ortholog_one2one	1
AT1G61780	Os08g0190800	ortholog_one2one	1
AT4G08790	Os12g0502500	ortholog_one2one	1
AT1G45110	Os10g0414500	ortholog_one2one	1
AT4G31150	Os06g0663600	ortholog_one2one	1
AT5G51820	Os10g0189100	ortholog_one2one	1
AT1G09010	Os05g0391500	ortholog_one2one	1
AT1G31360	Os11g0708600	ortholog_one2one	1
AT4G16440	Os03g0748700	ortholog_one2one	1
AT2G27760	Os01g0968700	ortholog_one2one	1
AT1G78650	Os01g0204000	ortholog_one2one	1
AT5G60750	Os06g0505400	ortholog_one2one	1
AT2G21290	Os09g0528100	ortholog_one2one	1
AT5G13200	Os12g0478200	ortholog_one2one	1
AT1G05410	Os03g0747200	ortholog_one2one	1
AT5G08400	Os02g0827600	ortholog_one2one	1
AT5G14590	Os04g0508200	ortholog_one2one	1
AT5G35570	Os09g0442900	ortholog_one2one	1
AT5G26850	Os03g0308200	ortholog_one2one	1
AT5G14760	Os02g0134400	ortholog_one2one	1
AT5G62310	Os12g0621500	ortholog_one2one	1
AT1G26900	Os08g0494350	ortholog_one2one	1
AT1G05940	Os02g0655700	ortholog_one2one	1
AT5G22100	Os03g0833700	ortholog_one2one	1
AT3G13840	Os03g0408600	ortholog_one2one	1
AT4G15420	Os01g0534800	ortholog_one2one	1
AT5G13030	Os06g0320700	ortholog_one2one	1
AT3G03220	Os04g0583500	ortholog_one2one	1
AT5G51220	Os07g0490300	ortholog_one2one	1
AT5G36950	Os05g0417100	ortholog_one2one	1
AT4G33200	Os10g0395150	ortholog_one2one	1
AT1G04620	Os04g0320100	ortholog_one2one	1
AT1G06440	Os10g0510300	ortholog_one2one	1
AT4G02485	Os11g0657200	ortholog_one2one	1
AT1G80360	Os01g0178000	ortholog_one2one	1
AT1G17120	Os06g0539400	ortholog_one2one	1
AT1G51510	Os05g0140500	ortholog_one2one	1
AT5G51540	Os06g0686500	ortholog_one2one	1
AT4G15850	Os02g0795900	ortholog_one2one	1
AT3G13860	Os05g0540300	ortholog_one2one	1
AT1G10040	Os03g0726800	ortholog_one2one	1
AT5G09550	Os03g0277000	ortholog_one2one	1
AT3G55440	Os01g0841600	ortholog_one2one	1
AT2G21860	Os01g0716400	ortholog_one2one	1
AT3G02260	Os09g0247700	ortholog_one2one	1
AT4G01810	Os01g0321700	ortholog_one2one	1
AT3G24320	Os04g0507000	ortholog_one2one	1
AT1G04900	Os01g0911900	ortholog_one2one	1
AT5G43500	Os04g0177600	ortholog_one2one	1
AT5G21050	Os03g0722000	ortholog_one2one	1
AT1G20620	Os02g0115700	ortholog_one2one	1
AT1G07290	Os03g0826300	ortholog_one2one	1
AT5G26880	Os08g0506500	ortholog_one2one	1
AT4G00590	Os04g0682500	ortholog_one2one	1
AT4G36630	Os03g0715500	ortholog_one2one	1
AT3G23750	Os04g0685900	ortholog_one2one	1
AT5G18230	Os03g0652100	ortholog_one2one	1
AT2G04845	Os03g0194400	ortholog_one2one	1
AT5G40400	Os01g0546700	ortholog_one2one	1
AT3G17300	Os12g0566100	ortholog_one2one	1
AT1G51550	Os08g0230300	ortholog_one2one	1
AT5G24760	Os02g0637700	ortholog_one2one	1
AT5G19610	Os04g0117300	ortholog_one2one	1
AT1G07830	Os06g0128500	ortholog_one2one	1
AT3G05090	Os12g0165000	ortholog_one2one	1
AT1G78910	Os08g0520100	ortholog_one2one	1
AT3G06050	Os01g0266600	ortholog_one2one	1
AT2G38770	Os03g0387000	ortholog_one2one	1
AT2G31530	Os05g0397700	ortholog_one2one	1
AT2G45700	Os09g0439000	ortholog_one2one	1
AT4G26370	Os03g0656900	ortholog_one2one	1
AT1G76400	Os05g0301500	ortholog_one2one	1
AT4G21580	Os02g0805600	ortholog_one2one	1
AT1G08560	Os03g0736500	ortholog_one2one	1
AT3G15200	Os01g0151900	ortholog_one2one	1
AT3G54440	Os01g0952600	ortholog_one2one	1
AT3G02680	Os10g0487300	ortholog_one2one	1
AT1G09270	Os07g0688300	ortholog_one2one	1
AT1G16445	Os05g0511700	ortholog_one2one	1
AT3G17940	Os10g0155500	ortholog_one2one	1
AT3G07890	Os08g0337700	ortholog_one2one	1
AT5G17380	Os01g0505400	ortholog_one2one	1
AT5G22080	Os03g0261500	ortholog_one2one	1
AT5G01270	Os01g0857000	ortholog_one2one	1
AT4G19860	Os04g0615100	ortholog_one2one	1
AT1G61620	Os03g0279900	ortholog_one2one	1
AT2G41680	Os07g0657900	ortholog_one2one	1
AT2G20860	Os04g0455800	ortholog_one2one	1
AT2G43110	Os04g0348100	ortholog_one2one	1
AT1G04400	Os02g0625000	ortholog_one2one	1
AT1G20810	Os02g0117600	ortholog_one2one	1
AT3G12290	Os05g0150800	ortholog_one2one	1
AT5G11900	Os01g0195500	ortholog_one2one	1
AT5G49840	Os01g0886600	ortholog_one2one	1
AT5G46580	Os03g0856100	ortholog_one2one	1
AT3G56290	Os01g0823600	ortholog_one2one	1
